Company,Model,Year,Engine Size (L),Fuel Type,Price (USD)
Honda,Pilot,2010,2.1,Diesel,74766.33
Honda,CR-V,2013,2.5,Diesel,66219.74
Mercedes-Benz,E-Class,2012,4.7,Petrol,16147.81
Ford,Fiesta,2013,2.2,Hybrid,51896.84
Volkswagen,Passat,2018,4,Electric,66462.89
Hyundai,Elantra,2013,2.6,Electric,61638.44
Chevrolet,Malibu,2018,3.8,Hybrid,73782.95
Nissan,Altima,2012,3,Petrol,22072.93
Honda,Fit,2017,4.7,Diesel,42928.93
Hyundai,Kona,2018,3.5,Petrol,79335.1
Volkswagen,Passat,2016,4.8,Diesel,39477.01
Honda,Civic,2011,2.5,Diesel,73121.85
Mercedes-Benz,C-Class,2011,4.3,Diesel,58608.07
Honda,Accord,2010,1.5,Electric,52931.11
Toyota,RAV4,2018,2.8,Electric,18546.85
Audi,A6,2018,4.7,Diesel,34848.24
Ford,Explorer,2012,4.3,Diesel,63025.66
Mercedes-Benz,GLA,2018,2.8,Electric,54630.3
Volkswagen,Tiguan,2016,4.1,Electric,66183.02
Volkswagen,Jetta,2011,3.5,Electric,52851.78
Audi,A4,2019,5,Diesel,62656.73
Chevrolet,Spark,2012,4.5,Hybrid,64102.36
Mercedes-Benz,GLC,2015,3,Hybrid,56043.94
Ford,Mustang,2017,1.3,Electric,64496.05
Hyundai,Kona,2011,1.7,Diesel,30134.18
Volkswagen,Atlas,2010,1.7,Electric,18600.24
Audi,Q7,2011,4.1,Hybrid,52269.23
Hyundai,Elantra,2016,4.4,Petrol,57447.68
Volkswagen,Atlas,2019,2,Hybrid,61056.21
Toyota,Corolla,2014,1.4,Petrol,68904.27
Chevrolet,Tahoe,2012,1.7,Hybrid,42181.69
Hyundai,Tucson,2020,1.2,Electric,74348.26
BMW,3 Series,2011,3.9,Diesel,55287.55
Hyundai,Elantra,2020,1.7,Petrol,47384.15
Hyundai,Santa Fe,2015,3.9,Electric,67342.15
Audi,A4,2018,3.3,Petrol,64058.28
BMW,3 Series,2020,2.4,Electric,51412.17
Chevrolet,Impala,2017,1.7,Petrol,54877.7
Volkswagen,Golf,2018,4.8,Electric,48419.82
Audi,A6,2013,3.4,Diesel,78295.31
BMW,7 Series,2012,2.9,Diesel,61204.66
Ford,Explorer,2011,3.9,Electric,55135.44
Volkswagen,Jetta,2015,4,Diesel,39979.2
Hyundai,Sonata,2014,2.5,Electric,69813.72
Hyundai,Kona,2015,1,Hybrid,37363.56
Audi,Q7,2011,3.8,Hybrid,20918.18
Mercedes-Benz,GLC,2018,2.7,Hybrid,29417.96
Hyundai,Elantra,2018,4.6,Electric,53770.32
Volkswagen,Golf,2018,4.1,Electric,22806.07
Audi,Q5,2011,3.7,Hybrid,58168.79
BMW,5 Series,2018,1.9,Hybrid,74010.9
Mercedes-Benz,C-Class,2018,1.7,Electric,79534.34
Mercedes-Benz,GLC,2014,2.6,Diesel,72132.17
Honda,Fit,2013,4.6,Petrol,35111.22
Volkswagen,Atlas,2018,2.9,Hybrid,68705.26
Mercedes-Benz,C-Class,2019,4.4,Diesel,35713.93
Hyundai,Tucson,2018,1.5,Hybrid,75459.35
BMW,3 Series,2020,3.3,Diesel,52627.76
Ford,Explorer,2020,3.6,Diesel,39002.04
Mercedes-Benz,GLA,2016,3.3,Petrol,18736.41
Mercedes-Benz,C-Class,2020,3.2,Hybrid,40187.19
Ford,Fiesta,2014,2,Petrol,36563.26
Chevrolet,Malibu,2011,1.9,Hybrid,46911.72
Volkswagen,Jetta,2013,3.9,Petrol,35970.28
Chevrolet,Impala,2011,2.6,Hybrid,15785.94
Audi,A6,2018,4.6,Hybrid,33656.64
Mercedes-Benz,S-Class,2015,1.8,Diesel,32014.3
Chevrolet,Impala,2018,4.6,Diesel,18284.3
Volkswagen,Golf,2011,3.9,Petrol,52641.03
Nissan,Sentra,2014,1.9,Petrol,30296.26
Mercedes-Benz,GLA,2018,2.5,Diesel,19395.87
Mercedes-Benz,GLA,2019,4.3,Petrol,37136.5
Hyundai,Sonata,2020,2,Diesel,55923.01
Mercedes-Benz,C-Class,2015,1.5,Electric,62118.25
Audi,Q5,2020,1.3,Hybrid,79408.1
Mercedes-Benz,GLC,2019,1,Hybrid,23565.15
Chevrolet,Spark,2016,3.6,Diesel,62739.94
Audi,A4,2015,3.6,Petrol,67283.26
BMW,3 Series,2011,1.4,Petrol,72302.22
Honda,Civic,2011,4.8,Electric,17106.91
Honda,Civic,2010,4.4,Hybrid,67284.44
Volkswagen,Jetta,2011,4.5,Diesel,62759.81
Hyundai,Elantra,2016,2,Electric,36270.37
Audi,A3,2016,4.8,Hybrid,60848.89
Honda,Accord,2017,3.2,Diesel,18785.35
Mercedes-Benz,E-Class,2020,3.3,Diesel,16849.23
Chevrolet,Spark,2018,1.9,Electric,28990.2
Ford,Fiesta,2011,2.6,Diesel,59406.71
Toyota,Highlander,2020,4.8,Petrol,33897.95
Audi,A3,2014,3.4,Diesel,28486.65
Hyundai,Santa Fe,2020,4.5,Electric,37964.73
BMW,X5,2010,4.7,Diesel,71218.99
Mercedes-Benz,GLC,2010,2.2,Hybrid,75162.67
Toyota,Camry,2019,2.2,Petrol,37125.29
Honda,Pilot,2014,4.8,Diesel,61877.14
Hyundai,Elantra,2019,2.1,Hybrid,24746.58
Chevrolet,Impala,2011,5,Hybrid,54791.49
Mercedes-Benz,S-Class,2013,2.8,Hybrid,63444.96
Audi,Q5,2017,1.6,Hybrid,66476.81
Hyundai,Tucson,2015,2.3,Electric,44950.16
Audi,Q5,2015,1.8,Electric,61172.61
Volkswagen,Tiguan,2012,3.7,Diesel,44764.29
Hyundai,Elantra,2016,1.7,Electric,62793.68
Hyundai,Kona,2015,1.9,Petrol,48732.09
BMW,X3,2010,2.7,Diesel,66197.34
Nissan,Rogue,2015,4.5,Electric,33705.1
Ford,Mustang,2012,2.7,Petrol,36094.13
Toyota,RAV4,2013,2.2,Petrol,56870.05
Audi,Q5,2013,4,Electric,62813.32
Mercedes-Benz,S-Class,2018,1.4,Petrol,47153.25
Nissan,Versa,2015,2.6,Hybrid,23638.96
Hyundai,Kona,2018,1.3,Hybrid,38037.94
BMW,X3,2019,1.9,Diesel,44738.55
Toyota,Camry,2011,2.3,Electric,63897.1
Honda,Fit,2020,3.6,Petrol,69699.7
Mercedes-Benz,GLC,2016,1,Diesel,35355.43
BMW,3 Series,2010,5,Petrol,77490.4
Honda,CR-V,2018,3.9,Electric,76747.37
BMW,3 Series,2013,4.3,Petrol,60879.05
Toyota,RAV4,2013,2.5,Diesel,33190.69
Audi,Q5,2019,3.3,Diesel,16897.7
Mercedes-Benz,GLA,2011,1.3,Diesel,16443.13
Mercedes-Benz,C-Class,2014,2,Electric,15789.19
Ford,Mustang,2015,4.3,Petrol,32997.25
Hyundai,Santa Fe,2010,2.5,Diesel,41345.39
BMW,3 Series,2015,2.8,Diesel,17536.47
Hyundai,Santa Fe,2019,1.7,Hybrid,58630.84
Chevrolet,Malibu,2013,4.2,Electric,54394.78
BMW,X5,2014,3,Hybrid,61183.51
Chevrolet,Equinox,2016,4.3,Hybrid,73867.31
Ford,Explorer,2012,2.4,Petrol,68291.96
Audi,A6,2014,1.5,Diesel,58771.5
BMW,5 Series,2017,2.6,Electric,51242.35
Volkswagen,Jetta,2011,1.6,Diesel,78804.77
Toyota,Highlander,2019,4.8,Electric,17255.77
Hyundai,Santa Fe,2020,1.3,Petrol,32848.56
Chevrolet,Equinox,2015,4.4,Petrol,53234.11
Hyundai,Elantra,2016,1.3,Hybrid,31995.16
Hyundai,Kona,2010,1.8,Electric,72182.45
Nissan,Rogue,2010,1.4,Petrol,28141.33
Mercedes-Benz,C-Class,2019,2.2,Hybrid,78258.62
Hyundai,Elantra,2016,3.5,Diesel,19345.18
Honda,Pilot,2015,2.1,Diesel,15060.66
Ford,Explorer,2013,3.4,Diesel,71743.5
Ford,Fiesta,2012,2.1,Electric,46588.71
Chevrolet,Equinox,2016,2.7,Hybrid,74655.18
Chevrolet,Impala,2015,1.6,Hybrid,75743.86
BMW,X3,2011,2,Petrol,76949
Honda,CR-V,2011,4,Petrol,52206.71
Nissan,Versa,2013,4.6,Electric,42099.47
Mercedes-Benz,S-Class,2010,2.9,Electric,44631.06
Chevrolet,Equinox,2018,4.1,Electric,47509.98
Nissan,Sentra,2013,4.6,Hybrid,18010.66
Volkswagen,Tiguan,2016,2.3,Petrol,36819.98
Nissan,Versa,2014,1.7,Diesel,51353.73
Toyota,RAV4,2020,1.5,Hybrid,27285.97
Hyundai,Tucson,2015,1.6,Electric,30713.45
Mercedes-Benz,E-Class,2012,4.8,Diesel,28012.15
Volkswagen,Golf,2020,3,Electric,36986.48
Toyota,RAV4,2015,4.7,Petrol,45465.89
Chevrolet,Malibu,2013,2.9,Electric,18804.47
Volkswagen,Golf,2017,1.6,Diesel,79159.95
Nissan,Altima,2016,2.9,Diesel,53820.08
Chevrolet,Equinox,2013,4.1,Hybrid,45851.89
BMW,X5,2012,3,Diesel,26164.75
Toyota,Camry,2017,2.6,Diesel,78279.87
Volkswagen,Tiguan,2020,2.8,Electric,28601.9
Honda,CR-V,2017,1.6,Petrol,62006.84
Honda,Accord,2010,3.9,Hybrid,32725.25
Toyota,Highlander,2018,2.7,Petrol,23416.27
Chevrolet,Tahoe,2015,3.2,Hybrid,27752.01
Toyota,Prius,2015,1.1,Petrol,47124.33
Ford,Fiesta,2016,4.9,Electric,52300.99
Chevrolet,Malibu,2014,3.7,Diesel,59080.1
Chevrolet,Spark,2016,1,Hybrid,59074.63
BMW,7 Series,2019,2.9,Diesel,28166.4
Chevrolet,Malibu,2017,1.2,Electric,35986.84
Chevrolet,Equinox,2011,2.2,Electric,18020.81
Honda,Civic,2012,4.4,Petrol,35764.46
Nissan,Versa,2014,4,Electric,56424.89
Ford,Focus,2010,4.1,Electric,20209.26
Ford,Fiesta,2010,3.7,Hybrid,72156.36
BMW,5 Series,2014,4.3,Diesel,21112.25
BMW,X5,2015,3.2,Hybrid,36879.05
Nissan,Versa,2020,2.7,Electric,26191.43
BMW,3 Series,2019,3.8,Diesel,45153.09
Audi,Q5,2013,5,Hybrid,16143.89
Nissan,Sentra,2010,1.6,Hybrid,40430.27
Honda,CR-V,2016,1.9,Diesel,62021.78
Volkswagen,Tiguan,2013,2.9,Hybrid,67448.45
Hyundai,Sonata,2015,2.2,Petrol,32416.71
BMW,3 Series,2011,2,Petrol,19100.19
Hyundai,Santa Fe,2010,1.5,Electric,42472.55
Mercedes-Benz,GLC,2019,3.2,Diesel,25167.08
Audi,A3,2014,3.2,Diesel,39397.98
Mercedes-Benz,E-Class,2013,1.7,Hybrid,44933.03
Mercedes-Benz,C-Class,2014,2.6,Petrol,26630.52
Volkswagen,Jetta,2010,4.1,Petrol,48807.26
Volkswagen,Golf,2017,4.2,Diesel,46011.86
Audi,Q7,2012,2.6,Diesel,24912.41
Volkswagen,Atlas,2016,2.3,Diesel,57559.49
Toyota,Prius,2015,1.5,Diesel,15975.2
BMW,3 Series,2018,2.9,Hybrid,50166.9
Honda,CR-V,2017,3.2,Electric,26375.54
Nissan,Versa,2012,2.1,Hybrid,35121.26
Mercedes-Benz,GLA,2019,4.4,Diesel,20714.26
Mercedes-Benz,GLC,2011,4.3,Diesel,27705.58
Honda,CR-V,2017,2.5,Hybrid,25121.36
Honda,Pilot,2015,2,Electric,62210.41
Hyundai,Santa Fe,2017,1.2,Diesel,70144.96
Toyota,Prius,2019,2,Hybrid,51878.57
Nissan,Sentra,2018,3.6,Diesel,66671.23
Volkswagen,Tiguan,2015,2.3,Hybrid,38816.45
Ford,Fiesta,2015,2.5,Electric,53209.7
Audi,A3,2018,4.9,Diesel,41424.01
Toyota,Prius,2018,4.6,Petrol,73156.46
Volkswagen,Jetta,2011,2.1,Diesel,28479.13
Nissan,Murano,2020,4.6,Hybrid,50948.91
Mercedes-Benz,GLC,2011,1.6,Electric,30683.29
Toyota,Highlander,2020,4,Hybrid,31269.16
Toyota,Corolla,2011,2.3,Electric,24297.4
Hyundai,Kona,2010,4.5,Petrol,47747.91
Audi,A4,2013,4.3,Diesel,69243.71
Hyundai,Sonata,2015,2.8,Petrol,48178.39
Toyota,Corolla,2018,2.9,Diesel,68378.25
Toyota,RAV4,2017,1.3,Diesel,49550.1
Nissan,Murano,2013,2.7,Hybrid,16213.96
BMW,7 Series,2013,1.4,Electric,56964.83
Toyota,Corolla,2018,4.8,Hybrid,53558.48
Nissan,Altima,2019,3.7,Diesel,66857.14
Nissan,Altima,2012,1.5,Diesel,45770.3
BMW,7 Series,2020,4.2,Petrol,46298.78
Nissan,Altima,2018,1.3,Petrol,47923.22
Mercedes-Benz,GLA,2019,2.2,Hybrid,28720.78
BMW,3 Series,2018,3.7,Petrol,21406.2
Toyota,Prius,2010,2.6,Electric,65773.79
Nissan,Altima,2014,1.2,Electric,79286.08
Toyota,Camry,2017,2,Diesel,38719.78
Mercedes-Benz,C-Class,2014,3.1,Electric,39802.76
Volkswagen,Golf,2019,2.6,Electric,62118.83
Ford,Fiesta,2017,3.1,Hybrid,40018.25
Nissan,Versa,2017,4.1,Electric,29406.27
Ford,Focus,2016,4.6,Diesel,51148.57
Ford,Explorer,2018,5,Diesel,35149.69
BMW,X5,2020,4.7,Diesel,35899.15
Mercedes-Benz,GLC,2010,1,Petrol,42286.51
Chevrolet,Tahoe,2011,2.7,Diesel,29206.07
Honda,Accord,2015,4.8,Electric,51890.31
Volkswagen,Tiguan,2011,2.9,Diesel,62627.16
Hyundai,Kona,2018,2.7,Diesel,57383.1
Mercedes-Benz,E-Class,2015,3.1,Hybrid,30253.61
Mercedes-Benz,C-Class,2018,2.1,Diesel,49752.91
Honda,Accord,2014,2.8,Hybrid,32399.64
Honda,CR-V,2018,4.6,Petrol,26115.01
Chevrolet,Spark,2010,4.3,Diesel,29643.58
BMW,X5,2015,2.4,Electric,47768.13
Mercedes-Benz,C-Class,2012,1.8,Electric,57595.23
Chevrolet,Spark,2017,4.1,Electric,50300.59
BMW,X3,2014,4.6,Petrol,43872.1
BMW,X5,2011,3.4,Petrol,63217.4
Audi,A6,2012,3.7,Petrol,67866.6
Chevrolet,Equinox,2014,1.2,Hybrid,27855.73
Audi,Q7,2014,3.7,Petrol,52727.38
Audi,Q5,2020,2.1,Electric,56704.34
Nissan,Rogue,2019,1.3,Hybrid,33354.65
BMW,3 Series,2011,1.5,Diesel,52539.07
BMW,5 Series,2013,3.2,Hybrid,50192.84
Nissan,Altima,2011,2.8,Electric,79566.99
Hyundai,Sonata,2020,3.6,Diesel,55747.03
Honda,Fit,2014,3.8,Hybrid,72022.92
Audi,A6,2016,2.1,Petrol,72070.13
Hyundai,Santa Fe,2019,4.7,Diesel,26706.56
BMW,3 Series,2015,4.2,Petrol,53259.26
Ford,Focus,2019,3.4,Diesel,62961.49
Ford,Mustang,2016,1.4,Petrol,26774.82
Audi,Q7,2014,2.4,Hybrid,46384.98
Toyota,Camry,2013,1.3,Hybrid,45828.42
Hyundai,Tucson,2018,4.7,Hybrid,48315.81
Toyota,Camry,2012,4.1,Electric,48614.11
Mercedes-Benz,GLC,2012,3.6,Diesel,69960.06
Mercedes-Benz,GLA,2011,2.9,Petrol,78518.75
Chevrolet,Tahoe,2012,4.8,Diesel,63353.87
Nissan,Rogue,2017,4.2,Hybrid,33102.13
Chevrolet,Equinox,2020,2.8,Hybrid,23846.2
Ford,Mustang,2012,3.3,Hybrid,42982.45
Honda,Civic,2010,4.7,Diesel,41919.08
BMW,3 Series,2012,3.1,Petrol,78039.99
Ford,Focus,2019,1.9,Electric,35640.7
Volkswagen,Atlas,2010,3,Hybrid,28175.7
Hyundai,Sonata,2010,2.2,Diesel,36719.24
BMW,7 Series,2017,3.2,Petrol,76568.59
BMW,X5,2018,3.2,Electric,73947.29
Ford,Focus,2020,3.1,Hybrid,45735.2
Ford,Explorer,2012,2.4,Petrol,44980.08
Ford,Mustang,2014,3.1,Hybrid,37934.74
Ford,Focus,2014,1.7,Diesel,69048.93
Mercedes-Benz,GLC,2018,2.4,Electric,46096.07
Toyota,Corolla,2020,3.4,Petrol,66046.46
Nissan,Versa,2012,2.7,Petrol,40322.91
Ford,Mustang,2010,2.9,Diesel,42522.21
BMW,5 Series,2014,2.6,Electric,23068.26
Audi,Q7,2014,1,Electric,38072.68
Honda,CR-V,2017,1.4,Electric,65750.14
Nissan,Rogue,2019,3.5,Hybrid,30600.62
Mercedes-Benz,S-Class,2010,4.9,Petrol,23778.49
Audi,A3,2011,1.3,Diesel,79500.36
Honda,Civic,2015,4.3,Hybrid,46225.73
Volkswagen,Passat,2019,2.2,Electric,60677.07
Chevrolet,Equinox,2012,3.8,Diesel,62328.78
BMW,7 Series,2019,2,Electric,16521.09
Volkswagen,Golf,2017,2.3,Electric,45925.72
BMW,X3,2012,4.2,Hybrid,77511.14
Mercedes-Benz,C-Class,2018,5,Electric,64724.05
Toyota,Camry,2020,2.8,Electric,36822.22
BMW,3 Series,2014,4.3,Hybrid,72937.97
BMW,3 Series,2018,1.9,Electric,30119.86
Hyundai,Elantra,2010,4.3,Petrol,73785.59
Volkswagen,Jetta,2018,3.8,Hybrid,17276.11
Hyundai,Elantra,2020,4.1,Petrol,15592.8
Mercedes-Benz,E-Class,2010,3.7,Petrol,58118.53
Volkswagen,Passat,2013,4.9,Diesel,28705.38
Nissan,Sentra,2017,3.8,Petrol,16569.05
Audi,Q5,2020,1.6,Diesel,26019.32
Mercedes-Benz,E-Class,2016,1.5,Diesel,55464.4
Ford,Focus,2016,3.3,Petrol,77365.89
Ford,Focus,2010,4.8,Electric,34158.38
Chevrolet,Malibu,2012,4,Electric,46607.23
Hyundai,Elantra,2013,3,Diesel,25162.21
Hyundai,Sonata,2010,2.9,Petrol,44657.08
Honda,Fit,2017,2.6,Petrol,65068.2
Hyundai,Santa Fe,2014,2.2,Petrol,63073.65
Audi,Q7,2016,3,Petrol,75813.83
Nissan,Versa,2019,2.1,Electric,54697.85
Chevrolet,Impala,2019,4.3,Petrol,34082.94
Ford,Focus,2015,4.2,Electric,26111.62
Nissan,Sentra,2017,3.4,Petrol,22153.76
Ford,Fiesta,2017,1.8,Diesel,46063.99
Audi,A3,2012,4.2,Electric,26880.96
Mercedes-Benz,C-Class,2018,3.5,Petrol,58433.95
Toyota,RAV4,2020,2.7,Hybrid,45098.27
Hyundai,Kona,2010,4.3,Petrol,71701.96
Ford,Explorer,2010,4.3,Electric,35533.73
Toyota,RAV4,2020,1.4,Diesel,68891.36
Nissan,Murano,2019,4.2,Hybrid,28975.46
Audi,Q7,2020,2.4,Hybrid,52118.84
Volkswagen,Jetta,2012,3.8,Diesel,16000.04
Honda,CR-V,2016,1.4,Petrol,72131.27
BMW,3 Series,2011,1.9,Hybrid,17789.8
Mercedes-Benz,S-Class,2015,1.7,Electric,33042.6
Toyota,Prius,2020,1.9,Electric,43654.82
BMW,5 Series,2011,3.9,Diesel,42534.52
Honda,Civic,2019,2.2,Diesel,24164.59
Hyundai,Kona,2016,4.2,Diesel,16048.82
Toyota,Camry,2010,4.6,Petrol,45678.92
Audi,Q7,2012,1.9,Hybrid,67091.8
Nissan,Versa,2015,4.1,Diesel,46800.35
Ford,Mustang,2017,4.9,Petrol,22487.02
Audi,Q5,2014,4.4,Petrol,30694.43
Hyundai,Sonata,2011,4.3,Diesel,78842.06
Volkswagen,Tiguan,2010,4.3,Petrol,28692.17
Chevrolet,Tahoe,2011,3.2,Petrol,19478.28
Honda,Pilot,2016,1.5,Diesel,38476.68
Audi,A6,2017,2.1,Hybrid,15536.36
Toyota,RAV4,2017,4,Diesel,25419.81
Mercedes-Benz,E-Class,2020,4.8,Diesel,33296.67
Audi,A4,2011,4,Hybrid,29158.7
Chevrolet,Spark,2012,2.4,Hybrid,40654.52
Ford,Explorer,2010,1.5,Diesel,36698.72
Chevrolet,Equinox,2017,3.9,Diesel,28792.38
Chevrolet,Spark,2010,4.5,Hybrid,45076.29
Audi,Q7,2015,3.5,Diesel,56587.27
Chevrolet,Spark,2012,2.9,Petrol,38470.66
Honda,Fit,2012,4.3,Electric,40341.17
Toyota,RAV4,2018,4.4,Electric,69569.54
Mercedes-Benz,C-Class,2017,4.1,Petrol,37038.83
Toyota,Highlander,2016,3.5,Diesel,64274.24
Chevrolet,Impala,2019,1.3,Hybrid,75809.89
Honda,Accord,2016,2.7,Petrol,50194.21
Ford,Mustang,2019,3.4,Diesel,43222.62
Hyundai,Tucson,2010,2,Electric,67045.28
Hyundai,Sonata,2019,4,Hybrid,42828.34
Ford,Fiesta,2017,4,Electric,50034.33
Audi,Q5,2011,3.9,Diesel,71437.84
Toyota,Highlander,2018,4.8,Diesel,23641.33
Ford,F-150,2016,4.8,Petrol,43117.31
BMW,7 Series,2014,1.2,Petrol,39152.23
Ford,Focus,2019,4,Hybrid,78015.69
Mercedes-Benz,GLA,2010,3.6,Petrol,32617.14
Volkswagen,Passat,2012,2,Electric,67063.87
Chevrolet,Malibu,2015,3.9,Petrol,39494.25
Audi,Q5,2011,4.4,Electric,61716.95
Volkswagen,Jetta,2020,2.4,Diesel,60607.97
Chevrolet,Equinox,2015,2.4,Diesel,63522.68
Honda,CR-V,2020,4.5,Diesel,75142.01
Chevrolet,Tahoe,2019,4.4,Hybrid,65916.56
Audi,A3,2016,3.8,Hybrid,23320.13
BMW,X3,2011,4.4,Petrol,63975.95
BMW,X5,2019,4,Diesel,28967.74
BMW,3 Series,2015,4.8,Electric,57820.81
Ford,Fiesta,2016,3.3,Electric,29643.85
Hyundai,Sonata,2017,4.8,Petrol,15300.44
Hyundai,Elantra,2011,1.5,Petrol,20462.4
Honda,Pilot,2014,1.5,Hybrid,19435.84
Hyundai,Tucson,2017,2.8,Diesel,34456.15
Ford,Explorer,2020,3.7,Diesel,31699.04
Volkswagen,Golf,2013,2.2,Electric,52479.95
Volkswagen,Passat,2011,1.7,Electric,26047.6
Volkswagen,Atlas,2017,2.8,Electric,29242.85
Nissan,Sentra,2010,2.5,Petrol,42205.85
Nissan,Sentra,2012,4.9,Diesel,52357.59
Volkswagen,Jetta,2019,2.5,Hybrid,78278.32
Nissan,Sentra,2011,3.2,Petrol,62791.78
Mercedes-Benz,E-Class,2012,2.7,Electric,29079.69
Toyota,Camry,2015,3,Petrol,44795.61
Volkswagen,Jetta,2010,1.1,Diesel,19291.88
Volkswagen,Tiguan,2010,2,Diesel,24469.51
Hyundai,Tucson,2019,3.7,Petrol,61136.01
BMW,7 Series,2012,2.6,Electric,76648.16
Audi,Q7,2013,2.1,Diesel,26067.6
Toyota,Highlander,2012,2.9,Diesel,50807.59
Toyota,Corolla,2017,4.7,Diesel,72554.88
Mercedes-Benz,E-Class,2013,3.5,Electric,51242.58
BMW,X5,2010,1.5,Electric,56713.05
Ford,Mustang,2011,4.6,Hybrid,61942.91
Toyota,Prius,2018,1.7,Hybrid,17483.41
